EXPECTATION,CALL_MAN,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT,EXACT_RANGE_EXP_2,
0,0,0,488600,81400,
0,0,0,489200,80800,
0,0,0,496400,73600,
0,0,0,494600,75400,
0,0,0,492800,77200,
0,0,0,487400,82600,
0,0,0,487400,82600,
0,0,0,485600,84400,
0,0,0,485600,84400,
0,0,0,482000,88000,
0,0,0,481400,88600,
0,0,0,480800,89200,
0,0,0,480800,89200,
0,0,0,480800,89200,
0,0,0,480800,89200,
0,0,0,486800,83200,
0,0,0,492800,77200,
0,0,0,492800,77200,
0,0,0,492800,77200,
0,0,0,492800,77200,
0,0,0,489800,80200,
0,0,0,481300,88700,
0,0,0,481300,88700,
0,0,0,481300,88700,
0,0,0,477700,92300,
0,0,0,477400,92600,
0,0,0,473800,96200,
0,0,0,472000,98000,
0,0,0,479200,90800,
0,0,0,479200,90800,
0,0,0,477400,92600,
0,0,0,478000,92000,
0,0,0,478000,92000,
0,0,0,472600,97400,
0,0,0,470800,99200,
0,0,0,469000,101000,
0,0,0,469600,100400,
0,0,0,469600,100400,
0,0,0,473200,96800,
0,0,0,473200,96800,
0,0,0,473800,96200,
0,0,0,479800,90200,
0,0,0,476200,93800,
0,0,0,476200,93800,
0,0,0,469000,101000,
0,0,0,475000,95000,
0,0,0,474400,95600,
0,0,0,474400,95600,
0,0,0,474400,95600,
0,0,0,469000,101000,
0,0,0,468700,101300,
0,0,0,462700,107300,
0,0,0,462700,107300,
0,0,0,460900,109100,
0,0,0,460900,109100,
0,0,0,460600,109400,
0,0,0,461200,108800,
0,0,0,466600,103400,
0,0,0,473800,96200,
0,0,0,470200,99800,
0,0,0,464800,105200,
0,0,0,464200,105800,
0,0,0,460600,109400,
0,0,0,460600,109400,
0,0,0,467800,102200,
0,0,0,463000,107000,
0,0,0,474900,95100,
0,0,0,480300,89700,
0,0,0,473100,96900,
0,0,0,473100,96900,
0,0,0,473700,96300,
0,0,0,479700,90300,
0,0,0,479700,90300,
0,0,0,486900,83100,
0,0,0,494100,75900,
0,0,0,500100,69900,
0,0,0,517400,52600,
0,0,0,517400,52600,
0,0,0,522800,47200,
0,0,0,522800,47200,
0,0,0,528800,41200,
0,0,0,529400,40600,
0,0,0,522200,47800,
0,0,0,522200,47800,
0,0,0,522200,47800,
0,0,0,521900,48100,
