CALL_MAN,SIMPLE_RANGE,SIMPLE_RANGE,EXPECTATION,EXPECTATION
0,28050,100,21600,250
0,27750,100,21900,250
0,27750,100,21900,250
0,27750,100,21900,250
0,27450,100,22200,250
0,27450,100,22200,250
0,26850,100,22800,250
0,26850,100,22800,250
0,26850,100,22800,250
0,27150,100,22500,250
0,27150,100,22500,250
0,27450,100,22200,250
0,27450,100,22200,250
0,27450,100,22200,250
0,27150,100,22500,250
0,27150,100,22500,250
0,26250,100,23400,250
0,26250,100,23400,250
0,26250,100,23400,250
0,25950,100,23700,250
0,25950,100,23700,250
0,26550,100,23100,250
0,26550,100,23100,250
0,26550,100,23100,250
0,26850,100,22800,250
0,26850,100,22800,250
0,27150,100,22500,250
0,27150,100,22500,250
0,27150,100,22500,250
0,26850,100,22800,250
0,26850,100,22800,250
0,26550,100,23100,250
0,26550,100,23100,250
0,26550,100,23100,250
0,26250,100,23400,250
0,26250,100,23400,250
0,25950,100,23700,250
0,25950,100,23700,250
0,25950,100,23700,250
0,25650,100,24000,250
0,25650,100,24000,250
0,25350,100,24300,250
0,25350,100,24300,250
0,25350,100,24300,250
0,25050,100,24600,250
0,25050,100,24600,250
0,24750,100,24900,250
0,24750,100,24900,250
0,24750,100,24900,250
0,25050,100,24600,250
0,25050,100,24600,250
0,24750,100,24900,250
0,24750,100,24900,250
0,24750,100,24900,250
0,24450,100,25200,250
0,24450,100,25200,250
0,24750,100,24900,250
0,24750,100,24900,250
0,24750,100,24900,250
0,24450,100,25200,250
0,24450,100,25200,250
0,23850,100,25800,250
0,23850,100,25800,250
0,23850,100,25800,250
0,23550,100,26100,250
0,23550,100,26100,250
0,23250,100,26400,250
0,23250,100,26400,250
0,23250,100,26400,250
0,23550,100,26100,250
0,23550,100,26100,250
0,23250,100,26400,250
0,23250,100,26400,250
0,23250,100,26400,250
0,23550,100,26100,250
0,23250,100,26400,250
0,23550,100,26100,250
0,23550,100,26100,250
0,23550,100,26100,250
0,23250,100,26400,250
0,23250,100,26400,250
0,23550,100,26100,250
0,23550,100,26100,250
0,23550,100,26100,250
0,23250,100,26400,250
0,23250,100,26400,250
0,22950,100,26700,250
0,22950,100,26700,250
0,21450,100,28200,250
0,21750,100,27900,250
0,21750,100,27900,250
0,21450,100,28200,250
0,21450,100,28200,250
0,21450,100,28200,250
0,21150,100,28500,250
0,20850,100,28800,250
0,21150,100,28500,250
0,21150,100,28500,250
0,21150,100,28500,250
0,21450,100,28200,250
0,21450,100,28200,250
0,21150,100,28500,250
0,21150,100,28500,250
0,21150,100,28500,250
0,21150,100,28500,250
0,21150,100,28500,250
0,20850,100,28800,250
0,19950,100,29700,250
0,19950,100,29700,250
0,20250,100,29400,250
0,20250,100,29400,250
0,19950,100,29700,250
0,19950,100,29700,250
0,19950,100,29700,250
0,20250,100,29400,250
0,20250,100,29400,250
0,19950,100,29700,250
0,19950,100,29700,250
0,19950,100,29700,250
0,20250,100,29400,250
0,20250,100,29400,250
0,20550,100,29100,250
0,20550,100,29100,250
0,20550,100,29100,250
0,20250,100,29400,250
0,20250,100,29400,250
0,19650,100,30000,250
0,19650,100,30000,250
0,19650,100,30000,250
0,19350,100,30300,250
0,19350,100,30300,250
0,19050,100,30600,250
0,19050,100,30600,250
0,19050,100,30600,250
0,18750,100,30900,250
0,18750,100,30900,250
0,19050,100,30600,250
0,19050,100,30600,250
0,19050,100,30600,250
0,19350,100,30300,250
0,19350,100,30300,250
0,19050,100,30600,250
0,19050,100,30600,250
0,19050,100,30600,250
0,18750,100,30900,250
0,18750,100,30900,250
0,19050,100,30600,250
0,19050,100,30600,250
0,19050,100,30600,250
0,19050,100,30600,250
0,19050,100,30600,250
0,19350,100,30300,250
0,19350,100,30300,250
0,19350,100,30300,250
0,19050,100,30600,250
0,19050,100,30600,250
0,18450,100,31200,250
0,18450,100,31200,250
0,18450,100,31200,250
0,18750,100,30900,250
0,18750,100,30900,250
0,19350,100,30300,250
0,19350,100,30300,250
0,18750,100,30900,250
0,18750,100,30900,250
0,18750,100,30900,250
0,18450,100,31200,250
0,18450,100,31200,250
0,18450,100,31200,250
0,18150,100,31500,250
0,18150,100,31500,250
0,18450,100,31200,250
0,18450,100,31200,250
0,18450,100,31200,250
0,18750,100,30900,250
0,18750,100,30900,250
0,19050,100,30600,250
0,19050,100,30600,250
0,19050,100,30600,250
0,19350,100,30300,250
0,19350,100,30300,250
0,19950,100,29700,250
0,19950,100,29700,250
0,19950,100,29700,250
0,19650,100,30000,250
0,19350,100,30300,250
0,19650,100,30000,250
0,19650,100,30000,250
0,19650,100,30000,250
0,19950,100,29700,250
0,19950,100,29700,250
0,19650,100,30000,250
0,19650,100,30000,250
0,19650,100,30000,250
0,19350,100,30300,250
0,19350,100,30300,250
0,19050,100,30600,250
0,19050,100,30600,250
0,19050,100,30600,250
0,19350,100,30300,250
