EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_2,
0,175500,198000,0,166500,0,
0,187500,197400,0,155100,0,
0,187500,197400,0,155100,0,
0,186900,198600,0,154500,0,
0,186900,198600,0,154500,0,
0,186900,198600,0,154500,0,
0,192900,192600,0,154500,0,
0,192900,202200,0,144900,0,
0,192900,195000,0,152100,0,
0,194700,195000,0,150300,0,
0,203700,186000,0,150300,0,
0,218100,177000,0,144900,0,
0,222300,172800,0,144900,0,
0,222300,185700,0,132000,0,
0,222300,185700,0,132000,0,
0,221700,185700,0,132600,0,
0,219900,185700,0,134400,0,
0,225300,180300,0,134400,0,
0,225000,186600,0,128400,0,
0,225000,187200,0,127800,0,
0,225000,187200,0,127800,0,
0,231000,187200,0,121800,0,
0,231000,187200,0,121800,0,
0,243600,187200,0,109200,0,
0,243300,186600,0,110100,0,
0,242700,186000,0,111300,0,
0,255300,186000,0,98700,0,
0,267300,180000,0,92700,0,
0,267300,180000,0,92700,0,
0,267300,180000,0,92700,0,
0,267000,180300,0,92700,0,
0,267000,179700,0,93300,0,
0,267000,179700,0,93300,0,
0,267000,179700,0,93300,0,
0,263400,179700,0,96900,0,
0,263400,181500,0,95100,0,
0,262800,182100,0,95100,0,
0,262800,188100,0,89100,0,
0,262800,198900,0,78300,0,
0,263400,198900,0,77700,0,
0,263400,200100,0,76500,0,
0,263400,200100,0,76500,0,
0,263100,200400,0,76500,0,
0,263100,201000,0,75900,0,
0,263100,201000,0,75900,0,
0,263700,201000,0,75300,0,
0,263700,201000,0,75300,0,
0,263700,201000,0,75300,0,
0,263400,207300,0,69300,0,
0,263400,204900,0,71700,0,
0,263400,204900,0,71700,0,
0,262800,204900,0,72300,0,
0,255600,212100,0,72300,0,
0,255600,212100,0,72300,0,
0,249600,218100,0,72300,0,
0,238200,217500,0,84300,0,
0,238200,221100,0,80700,0,
0,237600,221100,0,81300,0,
0,235800,221100,0,83100,0,
0,235800,221100,0,83100,0,
0,235500,221400,0,83100,0,
0,235500,217200,0,87300,0,
0,235500,217200,0,87300,0,
0,236100,217200,0,86700,0,
0,236100,217200,0,86700,0,
0,237900,217200,0,84900,0,
0,238500,216600,0,84900,0,
0,238500,220800,0,80700,0,
0,238500,220800,0,80700,0,
0,239100,220800,0,80100,0,
0,242700,220800,0,76500,0,
0,242700,220800,0,76500,0,
0,242400,220200,0,77400,0,
0,241800,219600,0,78600,0,
0,243000,219600,0,77400,0,
0,243600,219600,0,76800,0,
0,240000,216000,0,84000,0,
0,240000,219600,0,80400,0,
0,239700,219000,0,81300,0,
0,239700,214800,0,85500,0,
0,236100,218400,0,85500,0,
0,233700,218400,0,87900,0,
0,233700,220200,0,86100,0,
0,233700,220200,0,86100,0,
0,233400,220500,0,86100,0,
0,233400,212700,0,93900,0,
0,233400,208500,0,98100,0,
0,232800,192900,0,114300,0,
0,232800,192900,0,114300,0,
0,232800,192900,0,114300,0,
0,235200,190500,0,114300,0,
0,235200,191100,0,113700,0,
0,235200,191100,0,113700,0,
0,243000,191100,0,105900,0,
0,243000,186300,0,110700,0,
0,248400,186300,0,105300,0,
0,248100,186600,0,105300,0,
0,248100,187200,0,104700,0,
0,248100,187200,0,104700,0,
0,248700,187200,0,104100,0,
0,248700,187200,0,104100,0,
0,252300,183600,0,104100,0,
0,252000,183900,0,104100,0,
0,252000,180900,0,107100,0,
0,252000,180900,0,107100,0,
0,249000,180900,0,110100,0,
0,249000,180900,0,110100,0,
0,243600,186300,0,110100,0,
0,243300,186600,0,110100,0,
0,239100,180600,0,120300,0,
0,239100,180600,0,120300,0,
0,238500,180600,0,120900,0,
0,251100,180600,0,108300,0,
0,251100,180600,0,108300,0,
0,250800,180900,0,108300,0,
0,250800,181500,0,107700,0,
0,247200,199500,0,93300,0,
0,260400,199500,0,80100,0,
0,260400,199500,0,80100,0,
0,274800,192300,0,72900,0,
0,274500,192600,0,72900,0,
0,274500,187800,0,77700,0,
0,274500,184200,0,81300,0,
0,273900,184200,0,81900,0,
0,273900,184200,0,81900,0,
0,279300,178800,0,81900,0,
0,273300,184800,0,81900,0,
0,274500,184200,0,81300,0,
0,274500,184200,0,81300,0,
0,275100,184200,0,80700,0,
0,275100,184200,0,80700,0,
0,275100,184200,0,80700,0,
0,274800,184500,0,80700,0,
0,274800,183900,0,81300,0,
0,274800,183900,0,81300,0,
0,275400,183900,0,80700,0,
0,271800,187500,0,80700,0,
0,271800,187500,0,80700,0,
0,271500,183900,0,84600,0,
0,271500,189900,0,78600,0,
0,271500,185700,0,82800,0,
0,272700,185100,0,82200,0,
0,288300,176100,0,75600,0,
0,288300,176100,0,75600,0,
0,288900,175500,0,75600,0,
0,288900,183300,0,67800,0,
0,288900,183300,0,67800,0,
0,285900,183300,0,70800,0,
0,285900,183300,0,70800,0,
0,296700,183300,0,60000,0,
0,296100,184500,0,59400,0,
0,293700,187500,0,58800,0,
0,288300,187500,0,64200,0,
0,292500,187500,0,60000,0,
0,296100,183900,0,60000,0,
0,290700,183900,0,65400,0,
0,290400,184200,0,65400,0,
0,290400,178200,0,71400,0,
0,290400,178200,0,71400,0,
0,289800,178200,0,72000,0,
0,297000,171000,0,72000,0,
0,297000,171000,0,72000,0,
0,297600,170400,0,72000,0,
0,297600,170400,0,72000,0,
0,297600,170400,0,72000,0,
0,307200,170400,0,62400,0,
0,314400,170400,0,55200,0,
0,314400,170400,0,55200,0,
0,314100,170700,0,55200,0,
0,313500,170100,0,56400,0,
0,318900,164700,0,56400,0,
0,319500,164700,0,55800,0,
0,319500,164700,0,55800,0,
0,319500,164700,0,55800,0,
0,320100,164100,0,55800,0,
0,312300,172500,0,55200,0,
0,314700,172500,0,52800,0,
0,310500,168300,0,61200,0,
0,310500,168300,0,61200,0,
0,324900,161100,0,54000,0,
0,325500,160500,0,54000,0,
0,325500,156900,0,57600,0,
0,320100,156900,0,63000,0,
0,319500,156900,0,63600,0,
0,319500,156900,0,63600,0,
0,319500,156900,0,63600,0,
0,319200,157200,0,63600,0,
0,319200,151800,0,69000,0,
0,319200,151800,0,69000,0,
0,316200,151800,0,72000,0,
0,314400,153600,0,72000,0,
0,312600,155400,0,72000,0,
0,312300,155700,0,72000,0,
0,312300,161700,0,66000,0,
0,312300,162900,0,64800,0,
0,312900,162900,0,64200,0,
0,318300,161100,0,60600,0,
0,320100,161100,0,58800,0,
0,320100,161100,0,58800,0,
0,320100,160500,0,59400,0,
0,320100,174900,0,45000,0,
0,319500,174300,0,46200,0,
0,332100,174300,0,33600,0,
0,332100,174300,0,33600,0,
0,343500,162900,0,33600,0,
0,343500,162300,0,34200,0,
0,339900,165900,0,34200,0,
0,339900,165900,0,34200,0,
0,345300,160500,0,34200,0,
0,345300,160500,0,34200,0,
0,345000,160800,0,34200,0,
0,345000,166800,0,28200,0,
0,345000,166800,0,28200,0,
0,342600,166800,0,30600,0,
0,342600,166800,0,30600,0,
0,342600,166800,0,30600,0,
0,352200,157200,0,30600,0,
0,352200,156600,0,31200,0,
0,346800,156600,0,36600,0,
0,342600,156600,0,40800,0,
0,342600,156600,0,40800,0,
0,342600,156600,0,40800,0,
0,335100,164100,0,40800,0,
0,336300,163500,0,40200,0,
0,336300,163500,0,40200,0,
0,336900,163500,0,39600,0,
0,340500,163500,0,36000,0,
0,340500,163500,0,36000,0,
0,340200,163800,0,36000,0,
0,363000,150600,0,26400,0,
0,361200,152400,0,26400,0,
0,367200,152400,0,20400,0,
0,367200,152400,0,20400,0,
0,367200,152400,0,20400,0,
0,366900,151800,0,21300,0,
0,366900,151200,0,21900,0,
0,366900,151200,0,21900,0,
0,362700,151200,0,26100,0,
0,362700,152400,0,24900,0,
