EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,
0,66300,106700,136400,0,230600,
0,65700,108500,135800,0,230000,
0,65700,108500,135800,0,230000,
0,65100,104300,135800,0,234800,
0,65100,103700,136400,0,234800,
0,68100,103700,135800,0,232400,
0,68100,103700,135800,0,232400,
0,67500,105500,135200,0,231800,
0,67500,105500,135200,0,231800,
0,66900,104900,135200,0,233000,
0,66900,104300,135800,0,233000,
0,66900,104300,136400,0,232400,
0,66900,104300,129200,0,239600,
0,66300,104300,129200,0,240200,
0,69900,100700,129200,0,240200,
0,62100,108500,129200,0,240200,
0,62100,107900,128600,0,241400,
0,62100,107900,120800,0,249200,
0,62100,107900,120800,0,249200,
0,50700,107900,120800,0,260600,
0,59100,107900,112400,0,260600,
0,58500,114500,112400,0,254600,
0,58500,115100,111800,0,254600,
0,58500,115100,111200,0,255200,
0,58500,115100,111200,0,255200,
0,60600,115100,111200,0,253100,
0,60600,115100,111200,0,253100,
0,51000,124700,111200,0,253100,
0,51000,124100,105200,0,259700,
0,51000,124100,104600,0,260300,
0,51000,124100,104600,0,260300,
0,50400,124100,93200,0,272300,
0,50400,124100,93200,0,272300,
0,49800,125300,93200,0,271700,
0,49800,124700,83600,0,281900,
0,51000,124700,83000,0,281300,
0,43800,124700,83000,0,288500,
0,41400,124700,73400,0,300500,
0,41400,124700,73400,0,300500,
0,40800,125300,73400,0,300500,
0,40200,125600,73700,0,300500,
0,40200,125600,73100,0,301100,
0,40200,125600,73100,0,301100,
0,46200,125600,73100,0,295100,
0,51600,120200,73100,0,295100,
0,55800,116000,73100,0,295100,
0,55800,123500,65600,0,295100,
0,55800,123500,65000,0,295700,
0,55800,123500,65000,0,295700,
0,55200,123500,53600,0,307700,
0,55200,123500,53600,0,307700,
0,47400,137300,53600,0,301700,
