EXPECTATION,EXPECTATION_RAISE_LIMIT_24,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT_2,EXACT_RANGE_EXP_2,
0,0,0,309800,260200,
0,0,0,309800,260200,
0,0,0,309800,260200,
0,0,0,309800,260200,
0,0,0,309200,260800,
0,0,0,300800,269200,
0,0,0,300800,269200,
0,0,0,300800,269200,
0,0,0,299000,271000,
0,0,0,298700,271300,
0,0,0,298100,271900,
0,0,0,298100,271900,
0,0,0,298100,271900,
0,0,0,299900,270100,
0,0,0,304100,265900,
0,0,0,304700,265300,
0,0,0,301100,268900,
0,0,0,301100,268900,
0,0,0,306500,263500,
0,0,0,306200,263800,
0,0,0,312700,257300,
0,0,0,310900,259100,
0,0,0,310900,259100,
0,0,0,316300,253700,
0,0,0,316000,254000,
0,0,0,316000,254000,
0,0,0,316000,254000,
0,0,0,316000,254000,
0,0,0,314200,255800,
0,0,0,316600,253400,
0,0,0,316000,254000,
0,0,0,316000,254000,
0,0,0,316000,254000,
0,0,0,314200,255800,
0,0,0,313900,256100,
0,0,0,314500,255500,
0,0,0,314500,255500,
0,0,0,314500,255500,
0,0,0,316300,253700,
0,0,0,310300,259700,
0,0,0,301000,269000,
0,0,0,301000,269000,
0,0,0,301000,269000,
0,0,0,301000,269000,
0,0,0,296800,273200,
0,0,0,296200,273800,
0,0,0,290800,279200,
0,0,0,292600,277400,
0,0,0,292600,277400,
0,0,0,292300,277700,
0,0,0,292900,277100,
0,0,0,292900,277100,
0,0,0,292900,277100,
0,0,0,292900,277100,
0,0,0,290500,279500,
0,0,0,289900,280100,
0,0,0,291100,278900,
0,0,0,291100,278900,
0,0,0,291100,278900,
0,0,0,290800,279200,
0,0,0,290800,279200,
0,0,0,290800,279200,
0,0,0,298000,272000,
0,0,0,305200,264800,
0,0,0,304900,265100,
0,0,0,305500,264500,
0,0,0,303700,266300,
0,0,0,303700,266300,
0,0,0,303700,266300,
0,0,0,309700,260300,
0,0,0,320300,249700,
0,0,0,320300,249700,
0,0,0,316700,253300,
0,0,0,323900,246100,
